Date,Close Price
1/19/2015,46.7
1/20/2015,46.55
1/21/2015,46.05
1/22/2015,47.4
1/23/2015,50.75
1/27/2015,50.05
1/28/2015,49.8
1/29/2015,51.55
1/30/2015,51.9
2/2/2015,51.75
2/3/2015,49.9
2/4/2015,49.9
2/5/2015,47.35
2/6/2015,47.1
2/9/2015,46.35
2/10/2015,46.85
2/11/2015,49.45
2/12/2015,52
2/13/2015,50.95
2/16/2015,50.45
2/18/2015,51.4
2/19/2015,55.4
2/20/2015,54.75
2/23/2015,57.1
2/24/2015,56.75
2/25/2015,55.8
2/26/2015,54.85
2/27/2015,57.4
2/28/2015,56
3/2/2015,55.3
3/3/2015,57
3/4/2015,56.55
3/5/2015,59.35
3/9/2015,55.05
3/10/2015,52.25
3/11/2015,51.65
3/12/2015,52.75
3/13/2015,50.05
3/16/2015,50.4
3/17/2015,50.45
3/18/2015,50.15
3/19/2015,48.1
3/20/2015,47.5
3/23/2015,46.9
3/24/2015,46.15
3/25/2015,46.4
3/26/2015,46.4
3/27/2015,46.05
3/30/2015,47.5
3/31/2015,47.3
4/1/2015,47.75
4/6/2015,47.4
4/7/2015,48.6
4/8/2015,48.6
4/9/2015,49.4
4/10/2015,49.7
4/13/2015,49.45
4/15/2015,48.75
4/16/2015,48
4/17/2015,47.4
4/20/2015,45.55
4/21/2015,45.1
4/22/2015,45.45
4/23/2015,44.45
4/24/2015,43.6
4/27/2015,42.2
4/28/2015,42.35
4/29/2015,42.9
4/30/2015,43
5/4/2015,44.8
5/5/2015,44.55
5/6/2015,42.05
5/7/2015,40.5
5/8/2015,41.7
5/11/2015,43.4
5/12/2015,40.4
5/13/2015,41.1
5/14/2015,41.25
5/15/2015,41.05
5/18/2015,41.85
5/19/2015,41.8
5/20/2015,41.75
5/21/2015,41
5/22/2015,40.4
5/25/2015,40.35
5/26/2015,40.2
5/27/2015,39.9
5/28/2015,38.7
5/29/2015,38.95
6/1/2015,37.35
6/2/2015,36.25
6/3/2015,32.35
6/4/2015,31.9
6/5/2015,31.55
6/8/2015,30.5
6/9/2015,30.8
6/10/2015,30.8
6/11/2015,29.45
6/12/2015,29.25
6/15/2015,29.75
6/16/2015,29.1
